# set xran [0.0:0.49497890310677745]
# plot for [ii=2:49] 'pyband.dat' u 1:ii with line lc rgb '#000' t ''
# 
    0.1250   -15.2258   -14.7748   -13.8960   -13.6719    -6.8719    -6.1857    -4.5895    -4.3188    -4.0869    -3.6490    -3.3540    -3.2976    -3.0268    -2.9951    -2.3364    -1.9039    -1.3025    -1.0153     1.3350     1.5168     1.6212     1.7423     1.9136     2.0259     2.2594     2.6698     4.7880     5.2991     6.1193     6.7746     7.4245     8.3938     8.7266     9.0311     9.2697     9.5270     9.7473    10.3292    10.7112    10.7805    11.0670    11.3764    11.9119    12.1810    12.4808    12.5015    13.7885    13.8311
    0.1312   -15.3008   -14.8411   -13.9285   -13.7013    -6.9534    -6.2516    -4.4371    -4.2028    -3.9713    -3.5016    -3.4260    -3.3687    -2.9385    -2.9040    -2.3238    -1.8916    -1.2525    -0.9006     1.4250     1.5295     1.6815     1.7716     1.9602     1.9893     2.1732     2.5609     4.6893     5.1993     5.8971     6.5579     7.3169     8.4908     8.7740     8.9649     9.1994     9.5644     9.7099    10.4084    10.5799    10.7940    10.8652    11.4610    11.8795    12.1840    12.4234    12.5646    13.9653    13.9889
    0.1375   -15.3681   -14.9006   -13.9577   -13.7277    -7.0288    -6.3144    -4.2910    -4.0909    -3.8588    -3.4918    -3.4332    -3.3559    -2.8547    -2.8165    -2.3241    -1.8970    -1.2137    -0.7969     1.5175     1.5560     1.7394     1.8180     1.9697     2.0003     2.0965     2.4561     4.5986     5.1012     5.6768     6.3411     7.2243     8.5609     8.6933     8.9585     9.0917     9.5825     9.7110    10.3944    10.5686    10.6776    10.9510    11.5365    11.8561    12.1564    12.3754    12.6264    14.0663    14.2561
    0.1437   -15.4273   -14.9531   -13.9834   -13.7510    -7.0966    -6.3722    -4.1546    -3.9862    -3.7507    -3.5503    -3.4903    -3.2125    -2.7771    -2.7347    -2.3367    -1.9207    -1.1847    -0.7062     1.5733     1.6290     1.7934     1.8759     1.9677     1.9877     2.0755     2.3581     4.5157     5.0027     5.4739     6.1346     7.1456     8.4521     8.7187     8.8195     9.1239     9.5852     9.7393    10.2275    10.5085    10.7730    11.1558    11.5970    11.8403    12.1098    12.3375    12.6719    14.2386    14.6164
    0.1499   -15.4780   -14.9980   -14.0055   -13.7710    -7.1556    -6.4232    -4.0312    -3.8915    -3.6486    -3.6010    -3.5395    -3.0720    -2.7075    -2.6605    -2.3599    -1.9620    -1.1641    -0.6300     1.6118     1.7207     1.8412     1.9249     1.9339     1.9889     2.1083     2.2692     4.4402     4.9016     5.3016     5.9468     7.0795     8.2796     8.6259     8.8062     9.1823     9.5909     9.7856    10.0818    10.3611    10.9945    11.3851    11.6412    11.8304    12.0525    12.3085    12.6975    14.3372    14.6247
    0.1562   -15.5199   -15.0352   -14.0238   -13.7875    -7.2050    -6.4664    -3.9244    -3.8096    -3.6432    -3.5804    -3.5549    -2.9355    -2.6474    -2.5961    -2.3907    -2.0195    -1.1500    -0.5686     1.6509     1.8037     1.8560     1.8916     1.9725     2.0417     2.1427     2.1923     4.3718     4.7995     5.1675     5.7848     7.0254     8.1168     8.4585     8.8669     9.2210     9.6127     9.8433     9.9594    10.2372    11.2122    11.6075    11.6834    11.8249    11.9919    12.2873    12.7048    14.4127    14.7927
    0.1624   -15.5528   -15.0643   -14.0381   -13.8005    -7.2440    -6.5008    -3.8372    -3.7430    -3.6765    -3.6125    -3.4732    -2.8045    -2.5985    -2.5434    -2.4247    -2.0908    -1.1408    -0.5219     1.6878     1.8094     1.8720     1.9216     2.0005     2.1061     2.1294     2.1721     4.3114     4.7053     5.0710     5.6542     6.9830     7.9790     8.3166     8.9100     9.2387     9.6499     9.8619     9.9052    10.1389    11.4012    11.6791    11.8218    11.8597    11.9362    12.2725    12.6981    14.4311    15.0187
    0.1687   -15.5764   -15.0853   -14.0484   -13.8098    -7.2722    -6.5258    -3.7726    -3.7005    -3.6938    -3.6357    -3.4080    -2.6824    -2.5624    -2.5043    -2.4556    -2.1719    -1.1353    -0.4892     1.7181     1.7720     1.9219     1.9460     2.0249     2.0834     2.1618     2.1940     4.2619     4.6309     5.0062     5.5589     6.9524     7.8747     8.2096     8.9363     9.2431     9.6912     9.7915     9.9601    10.0676    11.5206    11.7262    11.8196    11.8907    12.0542    12.2631    12.6815    14.4284    15.1632
    0.1749   -15.5907   -15.0979   -14.0546   -13.8154    -7.2892    -6.5409    -3.7329    -3.7150    -3.6636    -3.6497    -3.3653    -2.5801    -2.5402    -2.4803    -2.4747    -2.2534    -1.1324    -0.4700     1.7380     1.7488     1.9517     1.9609     2.0422     2.0561     2.1990     2.2076     4.2284     4.5844     4.9685     5.5011     6.9340     7.8097     8.1431     8.9498     9.2426     9.7225     9.7489     9.9986    10.0245    11.5568    11.7936    11.8181    11.8650    12.1935    12.2586    12.6608    14.4142    15.1314
    0.1812   -15.5954   -15.1021   -14.0567   -13.8173    -7.2949    -6.5460    -3.7200    -3.7193    -3.6543    -3.6534    -3.3503    -2.5367    -2.5327    -2.4742    -2.4716    -2.2982    -1.1315    -0.4637     1.7408     1.7450     1.9611     1.9662     2.0447     2.0509     2.2114     2.2128     4.2164     4.5687     4.9560     5.4818     6.9278     7.7877     8.1206     8.9539     9.2420     9.7333     9.7354    10.0086    10.0139    11.5614    11.8114    11.8296    11.8575    12.2423    12.2615    12.6499    14.4077    15.1583
